Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.
"Fri, Mar 15, 2019",Phoenix Suns,102,Houston Rockets,108,"18,055"
"Fri, Mar 15, 2019",Milwaukee Bucks,113,Miami Heat,98,"19,600"
"Fri, Mar 15, 2019",Portland Trail Blazers,122,New Orleans Pelicans,110,"16,117"
"Fri, Mar 15, 2019",New York Knicks,83,San Antonio Spurs,109,"18,354"
"Fri, Mar 15, 2019",Chicago Bulls,121,Los Angeles Clippers,128,"17,404"
"Sat, Mar 16, 2019",Atlanta Hawks,120,Boston Celtics,129,"18,624"
"Sat, Mar 16, 2019",Phoenix Suns,138,New Orleans Pelicans,136,"17,641"
"Sat, Mar 16, 2019",Memphis Grizzlies,128,Washington Wizards,135,"19,750"
"Sat, Mar 16, 2019",Cleveland Cavaliers,116,Dallas Mavericks,121,"20,347"
"Sat, Mar 16, 2019",Golden State Warriors,110,Oklahoma City Thunder,88,"18,203"
"Sat, Mar 16, 2019",Portland Trail Blazers,103,San Antonio Spurs,108,"18,354"
"Sat, Mar 16, 2019",Indiana Pacers,100,Denver Nuggets,102,"19,856"
"Sat, Mar 16, 2019",Brooklyn Nets,98,Utah Jazz,114,"18,306"
"Sun, Mar 17, 2019",Los Angeles Lakers,123,New York Knicks,124,"19,812"
"Sun, Mar 17, 2019",Charlotte Hornets,75,Miami Heat,93,"19,600"
"Sun, Mar 17, 2019",Philadelphia 76ers,130,Milwaukee Bucks,125,"18,148"
"Sun, Mar 17, 2019",Toronto Raptors,107,Detroit Pistons,110,"19,277"
"Sun, Mar 17, 2019",Atlanta Hawks,91,Orlando Magic,101,"18,045"
"Sun, Mar 17, 2019",Chicago Bulls,102,Sacramento Kings,129,"17,583"
"Sun, Mar 17, 2019",Minnesota Timberwolves,102,Houston Rockets,117,"18,055"
"Sun, Mar 17, 2019",Brooklyn Nets,116,Los Angeles Clippers,119,"17,247"
"Mon, Mar 18, 2019",Detroit Pistons,119,Cleveland Cavaliers,126,"18,465"
"Mon, Mar 18, 2019",Utah Jazz,116,Washington Wizards,95,"15,637"
"Mon, Mar 18, 2019",Denver Nuggets,114,Boston Celtics,105,"18,624"
"Mon, Mar 18, 2019",New York Knicks,92,Toronto Raptors,128,"19,800"
"Mon, Mar 18, 2019",Miami Heat,116,Oklahoma City Thunder,107,"18,203"
"Mon, Mar 18, 2019",Golden State Warriors,105,San Antonio Spurs,111,"18,354"
"Mon, Mar 18, 2019",New Orleans Pelicans,129,Dallas Mavericks,125,"20,276"
"Mon, Mar 18, 2019",Chicago Bulls,116,Phoenix Suns,101,"15,879"
"Mon, Mar 18, 2019",Indiana Pacers,98,Portland Trail Blazers,106,"19,393"
"Tue, Mar 19, 2019",Philadelphia 76ers,118,Charlotte Hornets,114,"16,411"
"Tue, Mar 19, 2019",Houston Rockets,121,Atlanta Hawks,105,"16,293"
"Tue, Mar 19, 2019",Los Angeles Lakers,101,Milwaukee Bucks,115,"17,879"
"Tue, Mar 19, 2019",Golden State Warriors,117,Minnesota Timberwolves,107,"17,964"
"Tue, Mar 19, 2019",Brooklyn Nets,123,Sacramento Kings,121,"17,583"
"Tue, Mar 19, 2019",Indiana Pacers,109,Los Angeles Clippers,115,"16,043"
"Wed, Mar 20, 2019",Milwaukee Bucks,102,Cleveland Cavaliers,107,"19,432"
"Wed, Mar 20, 2019",New Orleans Pelicans,96,Orlando Magic,119,"17,005"
"Wed, Mar 20, 2019",Boston Celtics,115,Philadelphia 76ers,118,"20,606"
"Wed, Mar 20, 2019",Utah Jazz,137,New York Knicks,116,"18,530"
"Wed, Mar 20, 2019",Washington Wizards,120,Chicago Bulls,126,"19,470"
"Wed, Mar 20, 2019",Houston Rockets,125,Memphis Grizzlies,126,"16,691"
"Wed, Mar 20, 2019",Miami Heat,110,San Antonio Spurs,105,"18,354"
"Wed, Mar 20, 2019",Toronto Raptors,123,Oklahoma City Thunder,114,"18,203"
"Wed, Mar 20, 2019",Dallas Mavericks,118,Portland Trail Blazers,126,"19,803"
"Thu, Mar 21, 2019",Minnesota Timberwolves,106,Charlotte Hornets,113,"15,576"
"Thu, Mar 21, 2019",Denver Nuggets,113,Washington Wizards,108,"15,986"
"Thu, Mar 21, 2019",Utah Jazz,114,Atlanta Hawks,117,"15,569"
"Thu, Mar 21, 2019",Detroit Pistons,118,Phoenix Suns,98,"16,066"
"Thu, Mar 21, 2019",Dallas Mavericks,100,Sacramento Kings,116,"17,583"
"Thu, Mar 21, 2019",Indiana Pacers,89,Golden State Warriors,112,"19,596"
"Fri, Mar 22, 2019",Memphis Grizzlies,119,Orlando Magic,123,"18,025"
"Fri, Mar 22, 2019",Los Angeles Clippers,110,Cleveland Cavaliers,108,"19,432"
